id,domain,old_code,proposed_code,new_code,source,reviewer_verdict,drafter_why,reviewer_reason,misconception
355,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about voting process and voter ID laws.,Relates directly to voting processes and access.,Voter ID laws are purely about preventing fraud and have no effect on who gets to vote.
356,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Misconception about factors influencing political views.,Socialization is not media or interest group influence.,Political socialization only happens in school — what you learn in civics class determines your political views.
357,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about the Electoral College election process.,Relates to the mechanics of the election process.,The presidential candidate who wins the popular vote always becomes president.
358,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,"Misconception about interest groups, lobbyists, and PACs.",Distinguishes between types of interest group actors.,Interest groups and lobbyists are basically the same thing as PACs.
359,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about pluralist model and group influence.,Relates to group influence on government.,The pluralist model of democracy means every group gets equal influence over policy.
360,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Misconception about media bias and political communications.,Directly addresses media bias and communication.,The media just reports the news objectively — bias in media is a recent problem caused by social media.
361,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about iron triangles and government influence.,Relates to interest groups and government influence.,"Iron triangles — the alliance between agencies, interest groups, and congressional committees — are illegal because they bypass democratic accountabil"
362,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about primary and general election rules.,Relates to the mechanics of election types.,Primary elections and general elections work the same way — any voter can vote for any candidate.
363,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about swing states and election outcomes.,Relates to the election and voting process.,A swing state is a state that changes which party it votes for every single election.
364,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about elite theory and government power.,Relates to groups influencing government.,The elite theory of democracy means a small secret group of wealthy people literally controls all government decisions.
365,2,FCLE,SS.7.CG.1.11,SS.7.CG.3.2,reviewer-kept-in-domain,DISPUTE,Misconception about the Commerce Clause and rule of law.,Relates to federalism and state/federal power balance.,The Commerce Clause only applies to trade between states — it has nothing to do with activities within a single state.
366,2,FCLE,SS.7.CG.1.11,SS.7.CG.1.2,reviewer-kept-in-domain,DISPUTE,Misconception about the Necessary and Proper Clause.,Relates to constitutional principles and founding ideas.,The Necessary and Proper Clause is a loophole that lets Congress pass any law it wants.
367,2,FCLE,SS.7.CG.1.11,SS.7.CG.3.2,reviewer-kept-in-domain,DISPUTE,Misconception about the Supremacy Clause and federal power.,Relates to federalism and division of powers.,The Supremacy Clause means federal law always automatically overrides state law in every situation.
368,2,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,reviewer-accepted,DISPUTE-then-replacement,Misconception about the amendment process and founding ideas.,Relates to constitutional amendment principles.,Only Congress can propose amendments to the Constitution.
369,2,FCLE,SS.7.CG.1.11,SS.7.CG.3.2,reviewer-kept-in-domain,DISPUTE,Misconception about the 10th Amendment and Supremacy Clause.,Relates to federalism and state sovereignty.,"The 10th Amendment gives states all powers not listed in the Constitution, which means states can ignore federal laws they disagree with."
370,2,FCLE,SS.7.CG.1.11,SS.7.CG.1.2,reviewer-kept-in-domain,DISPUTE,Misconception about presidential veto powers and process.,Relates to constitutional processes and powers.,A pocket veto is when the president vetoes a bill by putting it in their pocket and never signing it.
371,2,FCLE,SS.7.CG.1.11,SS.7.CG.1.2,reviewer-kept-in-domain,DISPUTE,Misconception about executive privilege and judicial review.,Relates to constitutional powers and legal principles.,Executive privilege means the president can keep any information secret from Congress or the courts at any time.
372,2,FCLE,SS.7.CG.1.11,SS.7.CG.1.2,reviewer-kept-in-domain,DISPUTE,Misconception about War Powers Resolution and federal authority.,Relates to constitutional checks and balances.,"The War Powers Resolution gives presidents 60 days to use military force, after which Congress must declare war."
373,2,FCLE,SS.7.CG.1.11,SS.7.CG.1.2,reviewer-kept-in-domain,DISPUTE,Misconception about impeachment process and removal from office.,Relates to constitutional processes and law.,Impeachment means the president is removed from office immediately after the House votes to impeach.
374,2,FCLE,SS.7.CG.1.11,SS.7.CG.1.2,reviewer-kept-in-domain,DISPUTE,Misconception about Elastic Clause and Supremacy Clause.,Relates to constitutional principles and powers.,The elastic clause and the supremacy clause are basically the same thing — both expand federal power over states.
375,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.2,reviewer-accepted,DISPUTE-then-replacement,Addresses Federalist No. 10 views on factions and republics.,"Federalist 10 concerns principles of government, not ratification viewpoints.",Federalist No. 10 says factions can be eliminated if we just have good leaders who put the country first.
376,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.2,reviewer-accepted,DISPUTE-then-replacement,Addresses Federalist No. 10 views on factions and republics.,"Relates to republicanism principles, not ratification debate.",Federalist No. 10 supports direct democracy as the best way to prevent the tyranny of the majority.
